DATABASE: townetrl_townflow2

==============================
TABLE: auth_group
==============================


==============================
TABLE: auth_group_permissions
==============================


==============================
TABLE: auth_permission
==============================
+-----+----------------------------------+-----------------+----------------------------+
| id  | name                             | content_type_id | codename                   |
| 110 | Can change issue report          |              28 | change_issuereport         |
| 111 | Can delete issue report          |              28 | delete_issuereport         |
| 112 | Can view issue report            |              28 | view_issuereport           |
| 113 | Can add issue status log         |              29 | add_issuestatuslog         |
| 114 | Can change issue status log      |              29 | change_issuestatuslog      |
| 115 | Can delete issue status log      |              29 | delete_issuestatuslog      |
| 116 | Can view issue status log        |              29 | view_issuestatuslog        |
| 117 | Can add shell preference         |              30 | add_shellpreference        |
| 118 | Can change shell preference      |              30 | change_shellpreference     |
| 119 | Can delete shell preference      |              30 | delete_shellpreference     |
| 120 | Can view shell preference        |              30 | view_shellpreference       |
| 121 | Can add app release              |              31 | add_apprelease             |
| 122 | Can change app release           |              31 | change_apprelease          |
| 123 | Can delete app release           |              31 | delete_apprelease          |
| 124 | Can view app release             |              31 | view_apprelease            |
| 125 | Can add startup profile          |              32 | add_startupprofile         |
| 126 | Can change startup profile       |              32 | change_startupprofile      |
| 127 | Can delete startup profile       |              32 | delete_startupprofile      |
| 128 | Can view startup profile         |              32 | view_startupprofile        |
| 129 | Can add volunteer project        |              33 | add_volunteerproject       |
| 130 | Can change volunteer project     |              33 | change_volunteerproject    |
| 131 | Can delete volunteer project     |              33 | delete_volunteerproject    |
| 132 | Can view volunteer project       |              33 | view_volunteerproject      |
| 133 | Can add volunteer enrollment     |              34 | add_volunteerenrollment    |
| 134 | Can change volunteer enrollment  |              34 | change_volunteerenrollment |
| 135 | Can delete volunteer enrollment  |              34 | delete_volunteerenrollment |
| 136 | Can view volunteer enrollment    |              34 | view_volunteerenrollment   |
| 137 | Can add log entry                |              35 | add_logentry               |
| 138 | Can change log entry             |              35 | change_logentry            |
| 139 | Can delete log entry             |              35 | delete_logentry            |
| 140 | Can view log entry               |              35 | view_logentry              |
| 141 | Can add session                  |              36 | add_session                |
| 142 | Can change session               |              36 | change_session             |
| 143 | Can delete session               |              36 | delete_session             |
| 144 | Can view session                 |              36 | view_session               |
| 145 | Can add site                     |              37 | add_site                   |
| 146 | Can change site                  |              37 | change_site                |
| 147 | Can delete site                  |              37 | delete_site                |
| 148 | Can view site                    |              37 | view_site                  |
| 149 | Can add Token                    |              38 | add_token                  |
| 150 | Can change Token                 |              38 | change_token               |
| 151 | Can delete Token                 |              38 | delete_token               |
| 152 | Can view Token                   |              38 | view_token                 |
| 153 | Can add Token                    |              39 | add_tokenproxy             |
| 154 | Can change Token                 |              39 | change_tokenproxy          |
| 155 | Can delete Token                 |              39 | delete_tokenproxy          |
| 156 | Can view Token                   |              39 | view_tokenproxy            |
| 157 | Can add blacklisted token        |              40 | add_blacklistedtoken       |
| 158 | Can change blacklisted token     |              40 | change_blacklistedtoken    |
| 159 | Can delete blacklisted token     |              40 | delete_blacklistedtoken    |
| 160 | Can view blacklisted token       |              40 | view_blacklistedtoken      |
| 161 | Can add outstanding token        |              41 | add_outstandingtoken       |
| 162 | Can change outstanding token     |              41 | change_outstandingtoken    |
| 163 | Can delete outstanding token     |              41 | delete_outstandingtoken    |
| 164 | Can view outstanding token       |              41 | view_outstandingtoken      |
| 165 | Can add uploaded file            |              42 | add_uploadedfile           |
| 166 | Can change uploaded file         |              42 | change_uploadedfile        |
| 167 | Can delete uploaded file         |              42 | delete_uploadedfile        |
| 168 | Can view uploaded file           |              42 | view_uploadedfile          |
| 169 | Can add file access log          |              43 | add_fileaccesslog          |
| 170 | Can change file access log       |              43 | change_fileaccesslog       |
| 171 | Can delete file access log       |              43 | delete_fileaccesslog       |
| 172 | Can view file access log         |              43 | view_fileaccesslog         |
| 173 | Can add ocr processing record    |              44 | add_ocrprocessingrecord    |
| 174 | Can change ocr processing record |              44 | change_ocrprocessingrecord |
| 175 | Can delete ocr processing record |              44 | delete_ocrprocessingrecord |
| 176 | Can view ocr processing record   |              44 | view_ocrprocessingrecord   |
+-----+----------------------------------+-----------------+----------------------------+


==============================
TABLE: authentication_otpsession
==============================


==============================
TABLE: authentication_user
==============================


==============================
TABLE: authentication_user_groups
==============================


==============================
TABLE: authentication_user_user_permissions
==============================


==============================
TABLE: authtoken_token
==============================


==============================
TABLE: django_admin_log
==============================


==============================
TABLE: django_content_type
==============================
+----+-----------------+---------------------+
| id | app_label       | model               |
+----+-----------------+---------------------+
| 35 | admin           | logentry            |
|  6 | alerts          | alert               |
|  2 | auth            | group               |
|  1 | auth            | permission          |
|  5 | authentication  | otpsession          |
|  4 | authentication  | user                |
| 38 | authtoken       | token               |
| 39 | authtoken       | tokenproxy          |
|  7 | blood_donation  | bloodgroup          |
|  9 | blood_donation  | bloodrequest        |
| 10 | blood_donation  | bloodrequestmatch   |
|  8 | blood_donation  | donorprofile        |
| 11 | community_feed  | post                |
| 13 | community_feed  | postcomment         |
| 12 | community_feed  | postlike            |
|  3 | contenttypes    | contenttype         |
| 14 | digital_library | libraryresource     |
| 15 | digital_library | resourceprogress    |
| 16 | events_calendar | event               |
| 17 | events_calendar | eventrsvp           |
| 43 | file_manager    | fileaccesslog       |
| 42 | file_manager    | uploadedfile        |
| 18 | home            | homebanner          |
| 19 | home            | quickaction         |
| 20 | local_jobs      | job                 |
| 21 | local_jobs      | jobapplication      |
| 24 | local_services  | servicebooking      |
| 22 | local_services  | servicecategory     |
| 23 | local_services  | serviceprovider     |
| 44 | ocr_processing  | ocrprocessingrecord |
| 25 | onboarding      | onboardingprogress  |
| 27 | profile         | devicetoken         |
| 26 | profile         | userprofile         |
| 28 | report_issues   | issuereport         |
| 29 | report_issues   | issuestatuslog      |
| 36 | sessions        | session             |
| 30 | shell           | shellpreference     |
| 37 | sites           | site                |
| 31 | splash          | apprelease          |
| 32 | startup         | startupprofile      |
| 40 | token_blacklist | blacklistedtoken    |
| 41 | token_blacklist | outstandingtoken    |
| 34 | volunteer_hub   | volunteerenrollment |
| 33 | volunteer_hub   | volunteerproject    |
+----+-----------------+---------------------+


==============================
TABLE: django_migrations
==============================
+----+-----------------+------------------------------------------+----------------------------+
| id | app             | name                                     | applied                    |
+----+-----------------+------------------------------------------+----------------------------+
|  1 | contenttypes    | 0001_initial                             | 2026-06-06 13:50:32.126614 |
|  2 | contenttypes    | 0002_remove_content_type_name            | 2026-06-06 13:50:55.365356 |
|  3 | auth            | 0001_initial                             | 2026-06-06 13:50:55.627614 |
|  4 | auth            | 0002_alter_permission_name_max_length    | 2026-06-06 13:50:55.682174 |
|  5 | auth            | 0003_alter_user_email_max_length         | 2026-06-06 13:50:55.687973 |
|  6 | auth            | 0004_alter_user_username_opts            | 2026-06-06 13:50:55.695984 |
|  7 | auth            | 0005_alter_user_last_login_null          | 2026-06-06 13:50:55.706984 |
|  8 | auth            | 0006_require_contenttypes_0002           | 2026-06-06 13:50:55.709988 |
|  9 | auth            | 0007_alter_validators_add_error_messages | 2026-06-06 13:50:55.716279 |
| 10 | auth            | 0008_alter_user_username_max_length      | 2026-06-06 13:50:55.722111 |
| 11 | auth            | 0009_alter_user_last_name_max_length     | 2026-06-06 13:50:55.728571 |
| 12 | auth            | 0010_alter_group_name_max_length         | 2026-06-06 13:50:55.742635 |
| 13 | auth            | 0011_update_proxy_permissions            | 2026-06-06 13:50:55.768994 |
| 14 | auth            | 0012_alter_user_first_name_max_length    | 2026-06-06 13:50:55.774953 |
| 15 | authentication  | 0001_initial                             | 2026-06-06 13:50:56.458843 |
| 16 | admin           | 0001_initial                             | 2026-06-06 13:51:03.528035 |
| 17 | admin           | 0002_logentry_remove_auto_add            | 2026-06-06 13:51:04.787603 |
| 18 | admin           | 0003_logentry_add_action_flag_choices    | 2026-06-06 13:51:04.797124 |
| 19 | authtoken       | 0001_initial                             | 2026-06-06 13:51:04.883105 |
| 20 | authtoken       | 0002_auto_20160226_1747                  | 2026-06-06 13:51:04.910976 |
| 21 | authtoken       | 0003_tokenproxy                          | 2026-06-06 13:51:04.914993 |
| 22 | authtoken       | 0004_alter_tokenproxy_options            | 2026-06-06 13:51:04.922063 |
| 23 | file_manager    | 0001_initial                             | 2026-06-06 13:51:05.260024 |
| 24 | ocr_processing  | 0001_initial                             | 2026-06-06 13:51:05.394874 |
| 25 | ocr_processing  | 0002_alter_ocrprocessingrecord_image     | 2026-06-06 13:51:05.399353 |
| 26 | sessions        | 0001_initial                             | 2026-06-06 13:51:05.434312 |
| 27 | sites           | 0001_initial                             | 2026-06-06 13:51:05.454513 |
| 28 | sites           | 0002_alter_domain_unique                 | 2026-06-06 13:51:05.473027 |
| 29 | token_blacklist | 0001_initial                             | 2026-06-06 13:51:05.636418 |
| 30 | token_blacklist | 0002_outstandingtoken_jti_hex            | 2026-06-06 13:51:05.692082 |
| 31 | token_blacklist | 0003_auto_20171017_2007                  | 2026-06-06 13:51:05.730052 |
| 32 | token_blacklist | 0004_auto_20171017_2013                  | 2026-06-06 13:51:05.797161 |
| 33 | token_blacklist | 0005_remove_outstandingtoken_jti         | 2026-06-06 13:51:05.851661 |
| 34 | token_blacklist | 0006_auto_20171017_2113                  | 2026-06-06 13:51:05.877788 |
| 35 | token_blacklist | 0007_auto_20171017_2214                  | 2026-06-06 13:51:06.062737 |
| 36 | token_blacklist | 0008_migrate_to_bigautofield             | 2026-06-06 13:51:06.302565 |
| 37 | token_blacklist | 0010_fix_migrate_to_bigautofield         | 2026-06-06 13:51:06.317452 |
| 38 | token_blacklist | 0011_linearizes_history                  | 2026-06-06 13:51:06.320499 |
| 39 | token_blacklist | 0012_alter_outstandingtoken_user         | 2026-06-06 13:51:06.332066 |
+----+-----------------+------------------------------------------+----------------------------+


==============================
TABLE: django_session
==============================


==============================
TABLE: django_site
==============================
+----+-------------+-------------+
| id | domain      | name        |
+----+-------------+-------------+
|  1 | example.com | example.com |
+----+-------------+-------------+


==============================
TABLE: file_manager_fileaccesslog
==============================


==============================
TABLE: file_manager_uploadedfile
==============================


==============================
TABLE: ocr_processing_ocrprocessingrecord
==============================


==============================
TABLE: token_blacklist_blacklistedtoken
==============================


==============================
TABLE: token_blacklist_outstandingtoken
==============================


